gbat_district,homesFlipped,memberName,districtName
23,391,Stacey Pheffer Amato,District 23
24,270,David I. Weprin,District 24
25,163,Nily Rozic,District 25
26,229,Edward C. Braunstein,District 26
27,180,Daniel Rosenthal,District 27
28,150,Andrew Hevesi,District 28
29,1021,Alicia Hyndman,District 29
30,109,Steven Raga,District 30
31,845,Khaleel M. Anderson,District 31
32,1185,Vivian E. Cook,District 32
33,1096,Clyde Vanel,District 33
34,88,Jessica González-Rojas,District 34
35,174,Jeffrion L. Aubry,District 35
36,64,Zohran K. Mamdani,District 36
37,88,Juan Ardila,District 37
38,385,Jenifer Rajkumar,District 38
39,67,Catalina Cruz,District 39
40,152,Ron Kim,District 40
41,224,Helene E. Weinstein,District 41
42,127,Rodneyse Bichotte Hermelyn,District 42
43,156,Brian Cunningham,District 43
44,111,Robert C. Carroll,District 44
45,145,Michael Novakhov,District 45
46,113,Alec Brook-Krasny,District 46
47,80,William Colton,District 47
48,87,Simcha  Eichenstein,District 48
49,52,Lester Chang,District 49
50,113,Emily Gallagher,District 50
51,80,Marcela Mitaynes,District 51
52,124,Jo Anne Simon,District 52
53,69,Maritza Davila,District 53
54,554,Erik M. Dilan,District 54
55,294,Latrice M. Walker,District 55
56,292,Stefani Zinerman,District 56
57,152,Phara Souffrant Forrest,District 57
58,423,Monique Chandler-Waterman,District 58
59,507,Jaime R. Williams,District 59
60,368,Nikki Lucas,District 60
61,27,Charles D. Fall,District 61
64,18,Michael Tannousis,District 64
65,53,Grace Lee,District 65
66,176,Deborah J. Glick,District 66
67,88,Linda B. Rosenthal,District 67
68,47,Edward Gibbs,District 68
69,32,Daniel J. O'Donnell,District 69
70,38,Inez E. Dickens,District 70
71,18,Al Taylor,District 71
72,14,Manny De Los Santos,District 72
73,120,Alex Bores,District 73
74,45,Harvey Epstein,District 74
75,130,Tony Simone,District 75
76,47,Rebecca A. Seawright,District 76
77,67,Latoya Joyner,District 77
78,100,George Alvarez,District 78
79,98,Chantel Jackson,District 79
80,221,John Zaccaro,District 80
81,105,Jeffrey Dinowitz,District 81
82,328,Michael Benedetto,District 82
83,796,Carl E. Heastie,District 83
84,44,Amanda Septimo,District 84
85,244,Kenny Burgos,District 85
86,104,Yudelka Tapia,District 86
87,326,Karines  Reyes,District 87
