gbat_district,homesFlipped,memberName,senateDistrict
10,2140,James Sanders Jr.,10th District
11,652,Toby Ann Stavisky,11th District
12,233,Michael Gianaris,12th District
13,279,Jessica Ramos,13th District
14,2018,Leroy Comrie,14th District
15,807,Joseph P. Addabbo Jr,15th District
16,429,John C. Liu,16th District
17,142,Iwen Chu,17th District
18,447,Julia Salazar,18th District
19,1069,Roxanne J. Persaud,19th District
20,396,Zellnor Myrie,20th District
21,684,Kevin S. Parker,21st District
22,312,Simcha Felder,22nd District
23,155,Jessica Scarcella-Spanton,23rd District
25,591,Jabari Brisport,25th District
26,257,Andrew Gounardes,26th District
27,235,Brian Kavanagh,27th District
28,229,Liz Krueger,28th District
29,167,José M. Serrano,29th District
30,60,Cordell Cleare,30th District
31,81,Robert Jackson,31st District
32,270,Luis R. Sepúlveda,32nd District
33,264,Gustavo Rivera,33rd District
34,765,Nathalia Fernandez,34th District
36,960,Jamaal T. Bailey,36th District
47,197,Brad Hoylman-Sigal,47th District
59,175,Kristen Gonzalez,59th District
